RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000000365	15	32	2	2	19	5	11	15	40	2	5	17	4	15	12
ENSMUSG00000000374	371	330	215	321	248	231	216	216	270	194	353	321	343	246	416
ENSMUSG00000000378	7012	9219	5393	4133	4476	3724	2662	4046	3175	3515	3046	1744	5102	2918	3796
ENSMUSG00000000381	2	4	0	3	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000384	1366	1884	1317	1415	1607	1456	2312	2443	1836	1097	1075	942	1559	1233	1427
ENSMUSG00000000385	1	0	1	0	0	1	0	0	0	0	4	0	0	0	1
ENSMUSG00000000386	162	527	161	951	1248	620	268	473	481	233	699	386	644	168	697
ENSMUSG00000000392	6	2	6	0	2	0	0	1	1	0	6	0	6	2	1
ENSMUSG00000000394	0	0	0	0	0	0	0	1	0	0	4	10	1	0	3
ENSMUSG00000000399	6295	6033	4922	7127	7703	9791	6862	8158	6071	5500	5257	4879	7183	5168	6446
ENSMUSG00000000402	4	0	0	8	0	0	0	0	0	0	0	0	1	0	7
ENSMUSG00000000409	80620	81798	72469	98648	110811	124450	44264	58483	44262	63405	42833	71303	71354	58030	59820
ENSMUSG00000000411	2	1	0	3	0	0	0	0	1	0	0	3	1	1	5
ENSMUSG00000000416	4	1	0	2	0	3	0	5	2	0	3	27	13	4	6
ENSMUSG00000000420	1246	1190	679	1224	1205	680	1016	1232	1344	1119	1003	1403	1447	1136	1566
ENSMUSG00000000435	0	0	0	0	0	4	0	0	0	3	7	0	2	0	0
ENSMUSG00000000439	1474	1941	1232	1835	1929	1446	1447	1846	1481	1210	1131	1421	1724	1118	1574
ENSMUSG00000000440	16	16	6	181	130	50	29	45	39	39	402	198	288	62	354
ENSMUSG00000000441	968	1409	810	1011	954	1064	761	952	903	502	993	440	992	880	1269
ENSMUSG00000000486	30482	33906	27611	34178	36369	37991	19599	26796	20485	27095	15713	25023	34120	25464	20990
ENSMUSG00000000489	10	26	8	359	348	264	88	97	54	2580	1027	1411	3370	2021	2466
ENSMUSG00000000530	1543	1958	1582	85	76	46	60	77	43	66	440	119	391	37	398
ENSMUSG00000000531	8	3	3	3	14	4	1	6	2	9	11	12	15	15	8
ENSMUSG00000000532	393	454	305	96	92	60	35	41	65	127	168	143	310	239	264
ENSMUSG00000000538	1066	1361	482	340	326	167	139	167	184	319	332	233	600	373	391
ENSMUSG00000000544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000552	11	12	3	40	35	13	36	51	31	18	198	18	102	36	80
ENSMUSG00000000555	200	215	149	82	63	21	87	152	168	11	317	81	271	34	141
ENSMUSG00000000560	3	0	1	1	0	3	0	0	2	5	5	0	5	0	4
ENSMUSG00000000561	1551	2046	1116	938	966	866	1619	1910	1599	1195	1111	1180	1634	1133	1421
ENSMUSG00000000562	9	3	3	2	5	0	5	9	4	273	83	45	86	81	71
ENSMUSG00000000563	12791	13149	9686	18911	20201	16774	15501	19885	16799	14484	13216	14227	17765	14632	21274
ENSMUSG00000000567	3	0	0	1	0	1	3	1	0	0	3	1	0	0	0
ENSMUSG00000000568	967	1312	673	1070	1099	569	1670	1694	1791	1220	1054	1363	1133	1013	1566
ENSMUSG00000000579	143	198	100	122	129	102	34	50	42	106	129	154	144	132	271
ENSMUSG00000000581	3387	3946	2706	5248	5350	3657	6111	7827	6934	3922	4037	4997	4344	3490	5397
ENSMUSG00000000594	13913	13734	12164	20150	22763	25933	11670	16815	12204	5605	24591	16436	26088	3716	17839
ENSMUSG00000000600	4865	9053	2208	3888	4000	1473	1164	1630	2357	1533	1426	2897	2143	2543	3645
ENSMUSG00000000605	4437	5418	2848	4501	4896	2688	2352	2860	2855	1953	1797	1756	3056	1936	2491
ENSMUSG00000000606	6	3	0	0	0	0	0	0	0	0	1	0	0	0	1
ENSMUSG00000000617	96	134	74	2	0	2	0	4	1	0	0	1	2	3	0
ENSMUSG00000000627	235	255	312	183	206	87	50	70	65	33	18	42	119	88	62
ENSMUSG00000000628	35	14	9	202	266	178	553	591	666	97	526	371	552	140	426
ENSMUSG00000000631	1107	971	639	1138	1373	1159	541	660	743	610	606	353	874	630	676
ENSMUSG00000000632	1	0	0	2	1	4	0	0	0	0	0	0	4	0	1
ENSMUSG00000000673	1868	2737	1926	2772	2905	3315	1110	1542	1249	732	1162	715	1068	452	671
ENSMUSG00000000682	41926	46294	45348	68915	72357	99229	32771	46697	35750	58306	54992	48977	61420	56405	70005
ENSMUSG00000000686	348	386	270	52	84	13	6	5	12	16	79	35	104	84	78
ENSMUSG00000000690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000693	3	1	2	14	6	0	5	1	1	1	20	10	60	13	30
ENSMUSG00000000701	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0
ENSMUSG00000000706	4	0	0	4	0	0	0	1	0	0	0	0	0	0	2
ENSMUSG00000000708	899	1042	460	490	560	261	212	364	400	377	287	381	342	370	687
ENSMUSG00000000711	3641	4512	2598	2452	3093	2182	1076	1461	1281	2676	2330	2530	5269	2593	3506
ENSMUSG00000000724	12	2	0	4	1	1	1	0	4	0	4	2	2	4	0
ENSMUSG00000000730	0	0	0	0	1	0	3	3	0	0	1	0	0	0	1
ENSMUSG00000000731	4	2	0	1	0	0	1	0	1	5	13	4	6	0	3
ENSMUSG00000000732	211	180	87	430	565	237	122	115	136	1162	1229	1019	1736	918	1671
ENSMUSG00000000738	424	807	327	365	440	343	279	300	274	241	332	389	472	421	588
ENSMUSG00000000739	2	2	5	0	0	0	0	2	0	2	8	0	1	0	1
ENSMUSG00000000740	57731	56477	55002	35962	39150	38987	33681	49685	40846	35216	38452	28179	44379	31881	34228
ENSMUSG00000000743	5884	8183	5668	9233	10927	9840	3675	5014	3704	5835	5677	6374	11203	4869	6875
ENSMUSG00000000751	14373	13583	9779	13064	14495	15436	13227	15446	12888	11413	7132	10366	16603	12151	12603
ENSMUSG00000000753	5	4	1	9	16	17	126	117	134	47	81	68	84	65	85
ENSMUSG00000000759	2188	3087	1597	1702	2004	1450	1347	1463	1527	1277	1291	886	2125	1597	2151
ENSMUSG00000000766	40	77	8	14	14	13	20	22	31	19	21	27	26	28	51
ENSMUSG00000000776	505	545	409	283	283	204	327	345	350	333	243	203	349	304	368
ENSMUSG00000000782	64788	64444	48509	35177	32395	21055	15279	22501	20024	1294	2432	1486	1164	641	311
ENSMUSG00000000787	3826	4211	1835	2461	2524	918	2383	2717	3321	2452	1823	2511	2695	1891	3540
ENSMUSG00000000791	130	216	184	888	1052	992	548	748	547	1275	920	404	1268	1738	1334
ENSMUSG00000000792	0	0	0	5	3	2	1	1	0	0	0	0	1	1	0
ENSMUSG00000000794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000000804	893	1143	366	599	594	210	166	230	313	241	304	334	363	273	445
ENSMUSG00000000805	0	0	0	0	4	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000000811	8	43	15	16	6	3	10	8	20	10	17	12	27	19	19
ENSMUSG00000000817	8	11	77	2061	2794	2172	3402	4527	3751	20347	14472	34498	26654	18308	22061
ENSMUSG00000000823	1381	2758	1116	638	661	280	414	524	490	608	481	866	928	609	657
ENSMUSG00000000826	5039	4439	3247	4462	5074	2998	2038	2616	2687	2579	2548	1491	2999	2605	3997
ENSMUSG00000000827	2919	3103	2266	2642	2757	2974	2405	3106	2528	2153	2652	2635	3532	2192	2987
ENSMUSG00000000838	843	1245	407	1018	1095	415	646	791	1096	533	421	595	593	575	954
ENSMUSG00000000861	37	28	6	74	94	64	11	33	21	59	172	89	177	42	127
